no_sekolah,nama_sekolah,jenjang,jumlah_siswa,kecamatan_sekolah,lat_sekolah,lng_sekolah,sppg_pelayan,lat_sppg,lng_sppg,jarak_lurus_km
15,Smk Negeri 5 Surabaya,SMA/SMK,1147,GUBENG,-7.2651282,112.7691311,SPPG Kota Surabaya Gubeng Mojo 4,-7.267972089941,112.768710792423,0.32
14,Smpn 29 Surabaya,SMP,1045,GUBENG,-7.2659374,112.7558135,SPPG Kota Surabaya Gubeng Gubeng,-7.271241199817,112.751257658355,0.775
13,Smp Negeri 6 Surabaya,SMP,1006,GUBENG,-7.273867,112.7485632,SPPG Kota Surabaya Gubeng Pucang Sewu,-7.291520585907,112.751491178177,1.989
11,Sd Negeri Pacar Kembang Iv,SD,446,GUBENG,-7.263804,112.7635538,SPPG Kota Surabaya Gubeng Mojo,-7.267169019797,112.766468968599,0.493
5,Sd Negeri Kertajaya Iv,SD,442,GUBENG,-7.2832467,112.7518648,SPPG Kota Surabaya Gubeng Baratajaya 2,-7.2943,112.7602,1.535
1,Sd Negeri Airlangga Iii Nomor 200,SD,439,GUBENG,-7.2756469,112.760769,SPPG Kota Surabaya Gubeng Mojo 2,-7.274488307198,112.772301935019,1.279
10,Sd Negeri Pacar Keling X,SD,436,GUBENG,-7.2674335,112.754024,SPPG Kota Surabaya Gubeng Mojo 3,-7.269682854887,112.771483393251,1.942
6,Sd Negeri Kertajaya Ix Nomor 215,SD,424,GUBENG,-7.284033,112.7517944,SPPG Kota Surabaya Gubeng Baratajaya 3,-7.2972536,112.758372,1.639
3,Sd Negeri Kertajaya,SD,421,GUBENG,-7.2834351,112.7598779,SPPG Kota Surabaya Gubeng Baratajaya,-7.298931103836,112.758879574098,1.727
8,Sd Negeri Mojo Vi Nomor 225,SD,418,GUBENG,-7.269058,112.7705012,SPPG Kota Surabaya Gubeng Mojo 3,-7.269682854887,112.771483393251,0.129
4,Sd Negeri Kertajaya I Nomor 2017,SD,417,GUBENG,-7.2796928,112.7596454,SPPG Kota Surabaya Gubeng Mojo 2,-7.274488307198,112.772301935019,1.511
2,Sd Negeri Gubeng I,SD,416,GUBENG,-7.2724586,112.7541806,SPPG Kota Surabaya Gubeng Mojo,-7.267169019797,112.766468968599,1.478
9,Sd Negeri Mojo Viii Nomor 227,SD,414,GUBENG,-7.2708142,112.7629625,SPPG Kota Surabaya Gubeng Baratajaya 2,-7.2943,112.7602,2.629
12,Sekolah Dasar Negeri Gubeng Iii - 206,SD,402,GUBENG,-7.269412,112.7535019,SPPG Kota Surabaya Gubeng Baratajaya 3,-7.2972536,112.758372,3.142
7,Sd Negeri Kertajaya V Nomor 211,SD,400,GUBENG,-7.2802469,112.7539416,SPPG Kota Surabaya Gubeng Baratajaya,-7.298931103836,112.758879574098,2.148
19,Smpn 62 Surabaya,SMP,1056,GUNUNG ANYAR,-7.3417855,112.7947526,SPPG Kota Surabaya Gunung Anyar Gunung Anyar,-7.3334,112.7838,1.526
18,Sd Negeri Rungkut Menanggal Ii,SD,449,GUNUNG ANYAR,-7.3364419,112.7775149,SPPG Kota Surabaya Gunung Anyar Rungkut Menanggal,-7.338715017465,112.771717967825,0.687
17,Sd Negeri Gununganyar Tambak No 628,SD,446,GUNUNG ANYAR,-7.3371773,112.8036513,SPPG Kota Surabaya Gunung Anyar Gunung Anyar 2,-7.24917,112.75083,11.389
16,Sd Negeri Gunung Anyar 273,SD,431,GUNUNG ANYAR,-7.3332211,112.7834048,SPPG Kota Surabaya Gunung Anyar Rungkut Menanggal,-7.338715017465,112.771717967825,1.426
25,Sd Negeri Mulyorejo 1 Dan Smp Negeri 45 Surabaya,SMP,1082,MULYOREJO,-7.2637184,112.7852997,SPPG Kota Surabaya Mulyorejo Mulyorejo 2,-7.266020349492,112.782801261253,0.376
23,Sd Negeri Kejawen Putih 1,SD,440,MULYOREJO,-7.2773006,112.802061,SPPG Kota Surabaya Mulyorejo Kejawan Putih Tambak 3,-7.2813,112.8021,0.445
21,Sd Negeri Kalisari I,SD,437,MULYOREJO,-7.2612227,112.796486,SPPG Kota Surabaya Mulyorejo Kalisari,-7.267039016479,112.798691016062,0.691
20,Sd Negeri Kalijudan Ii,SD,432,MULYOREJO,-7.2571061,112.779005,SPPG Kota Surabaya Mulyorejo Mulyorejo,-7.260168999089,112.781760996572,0.457
22,Sd Negeri Kalisari Ii,SD,420,MULYOREJO,-7.2689121,112.7994734,SPPG Kota Surabaya Mulyorejo Mulyorejo 3,-7.271760216268,112.785855092526,1.535
24,Sdn Sutorejo 1-240,SD,401,MULYOREJO,-7.2595864,112.7910639,SPPG Kota Surabaya Mulyorejo Mulyorejo,-7.260168999089,112.781760996572,1.028
43,Ma Negeri Surabaya,SMA/SMK,1193,RUNGKUT,-7.3090269,112.7984608,SPPG Kota Surabaya Rungkut Medokan Ayu,-7.319832846885,112.794419568801,1.282
