no,osm_id,nama_sekolah,jenjang,jumlah_siswa,kecamatan,alamat,kota,lat,lng
1,475562063,Sd Negeri Airlangga Iii Nomor 200,SD,439,GUBENG,"Jalan Karang Menur 4 11, Gubeng, Jawa Timur 60286, Idn",Surabaya,-7.2756469,112.760769
2,470884154,Sd Negeri Gubeng I,SD,416,GUBENG,"Jalan Gubeng Jaya 4, Gubeng, Jawa Timur 60281, Idn",Surabaya,-7.2724586,112.7541806
3,467106558,Sd Negeri Kertajaya,SD,421,GUBENG,"Jalan Pucang Jajar 14A, Gubeng, Jawa Timur 60282, Idn",Surabaya,-7.2834351,112.7598779
4,475201620,Sd Negeri Kertajaya I Nomor 2017,SD,417,GUBENG,"Jalan Gubeng Kertajaya 10B 11A, Gubeng, Jawa Timur 60282, Idn",Surabaya,-7.2796928,112.7596454
5,450537997,Sd Negeri Kertajaya Iv,SD,442,GUBENG,"Jalan Pucang Windu, Gubeng, Jawa Timur 60282, Idn",Surabaya,-7.2832467,112.7518648
6,467108109,Sd Negeri Kertajaya Ix Nomor 215,SD,424,GUBENG,"Jalan Pucang Anom 9, Gubeng, Jawa Timur 60282, Idn",Surabaya,-7.284033,112.7517944
7,475222525,Sd Negeri Kertajaya V Nomor 211,SD,400,GUBENG,"Jalan Gubeng Kertajaya 4D 33, Gubeng, Jawa Timur 60282, Idn",Surabaya,-7.2802469,112.7539416
8,469351126,Sd Negeri Mojo Vi Nomor 225,SD,418,GUBENG,"Jalan Mojo Klanggru Kidul 147, Gubeng, Jawa Timur 60285, Idn",Surabaya,-7.269058,112.7705012
9,475565448,Sd Negeri Mojo Viii Nomor 227,SD,414,GUBENG,"Jalan Karang Menjangan Gang 3 E, Gubeng, Jawa Timur 60285, Idn",Surabaya,-7.2708142,112.7629625
10,447608026,Sd Negeri Pacar Keling X,SD,436,GUBENG,"Jalan Gubeng Masjid 2 12, Tambaksari, Jawa Timur 60131, Idn",Surabaya,-7.2674335,112.754024
11,449149849,Sd Negeri Pacar Kembang Iv,SD,446,GUBENG,"Jalan Kedung Tarukan Wetan 1, Gubeng, Jawa Timur 60132, Idn",Surabaya,-7.263804,112.7635538
12,447608016,Sekolah Dasar Negeri Gubeng Iii - 206,SD,402,GUBENG,"Jalan Gubeng Kelingsingan 3 16F, Gubeng, Jawa Timur 60281, Idn",Surabaya,-7.269412,112.7535019
13,429000274,Smp Negeri 6 Surabaya,SMP,1006,GUBENG,"Jalan Jawa 18, Gubeng, Jawa Timur 60281, Idn",Surabaya,-7.273867,112.7485632
14,449624598,Smpn 29 Surabaya,SMP,1045,GUBENG,"Jalan Gubeng Masjid 6 4G, Tambaksari, Jawa Timur 60131, Idn",Surabaya,-7.2659374,112.7558135
15,470936374,Smk Negeri 5 Surabaya,SMA/SMK,1147,GUBENG,"60285, Gubeng, Jawa Timur, Idn",Surabaya,-7.2651282,112.7691311
16,466281991,Sd Negeri Gunung Anyar 273,SD,431,GUNUNG ANYAR,"Jalan Gunung Anyar Lor Gang 2, Gunung Anyar, Jawa Timur 60294, Idn",Surabaya,-7.3332211,112.7834048
17,464842266,Sd Negeri Gununganyar Tambak No 628,SD,446,GUNUNG ANYAR,"Jalan Wiguna Timur 12 628, Gunung Anyar, Jawa Timur 60294, Idn",Surabaya,-7.3371773,112.8036513
18,461994605,Sd Negeri Rungkut Menanggal Ii,SD,449,GUNUNG ANYAR,"Jalan Rungkut Menanggal Utara 10 M15, Gunung Anyar, Jawa Timur 60293, Idn",Surabaya,-7.3364419,112.7775149
19,1243541226,Smpn 62 Surabaya,SMP,1056,GUNUNG ANYAR,"Jalan Gunung Anyar Sawah, Gunung Anyar, Jawa Timur 60294, Idn",Surabaya,-7.3417855,112.7947526
20,450772006,Sd Negeri Kalijudan Ii,SD,432,MULYOREJO,"Jalan Kalijudan 136, Mulyorejo, Jawa Timur 60114, Idn",Surabaya,-7.2571061,112.779005
21,450507068,Sd Negeri Kalisari I,SD,437,MULYOREJO,"Jalan Mulyosari Utara 9 10, Mulyorejo, Jawa Timur 60112, Idn",Surabaya,-7.2612227,112.796486
22,466551713,Sd Negeri Kalisari Ii,SD,420,MULYOREJO,"Jalan Taman Bhaskara 1, Mulyorejo, Jawa Timur 60112, Idn",Surabaya,-7.2689121,112.7994734
23,470110534,Sd Negeri Kejawen Putih 1,SD,440,MULYOREJO,"Jalan Kejawan Putih Tambak 52, Mulyorejo, Jawa Timur 60112, Idn",Surabaya,-7.2773006,112.802061
24,1453966502,Sdn Sutorejo 1-240,SD,401,MULYOREJO,"Jalan Mulyorejo Utara, Mulyorejo, Jawa Timur 60113, Idn",Surabaya,-7.2595864,112.7910639
25,470217712,Sd Negeri Mulyorejo 1 Dan Smp Negeri 45 Surabaya,SMP,1082,MULYOREJO,"Jalan Sutorejo Baru, Mulyorejo, Jawa Timur 60113, Idn",Surabaya,-7.2637184,112.7852997
26,468615391,Mi Negeri Medokan Ayu,SD,446,RUNGKUT,"Jalan Mendokan Asri Utara 3, Rungkut, Jawa Timur 60295, Idn",Surabaya,-7.3246549,112.7968495
