Provinsi,Kab_Kota,Kecamatan,Kelurahan_Desa,Alamat,Nama_SPPG,Latitude,Longitude
JAWA TIMUR,KOTA SURABAYA,RUNGKUT,MEDOKAN AYU,"Medokan Asri 1 P - 24, Kecamatan Rungkut, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Rungkut Medokan Ayu 2,-7.327093299165,112.792632576447
JAWA TIMUR,KOTA SURABAYA,MULYOREJO,MULYOREJO,"Dharmahusada Indah Utara Blok B No 3 Kec. Mulyorejo, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Mulyorejo Mulyorejo 2,-7.266020349492,112.782801261253
JAWA TIMUR,KOTA SURABAYA,MULYOREJO,KALISARI,"Jl. Bhaskara Sari No. 45, Rt.010/Rw.02, Kel. Kalisari, Kec. Mulyorejo, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Mulyorejo Kalisari,-7.267039016479,112.798691016062
JAWA TIMUR,KOTA SURABAYA,SUKOLILO,SEMOLOWARU,"Jl. Klampis Semolo Barat No.85, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur",SPPG Kota Surabaya Sukolilo Semolowaru,-7.297155257795,112.775514396032
JAWA TIMUR,KOTA SURABAYA,GUBENG,BARATAJAYA,"Jl. Bratang Binangun L No. 04, Kel. Baratajaya, Kec. Gubeng, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Gubeng Baratajaya 2,-7.2943,112.7602
JAWA TIMUR,KOTA SURABAYA,GUBENG,BARATAJAYA,"Baratajaya XV/No. 22-24, Kel. Baratajaya, Kec. Gubeng, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Gubeng Baratajaya 3,-7.2972536,112.758372
JAWA TIMUR,KOTA SURABAYA,SUKOLILO,MENUR PUMPUNGAN,"Jl. Manyar Jaya V No A24, Rt 001/Rw 08, Menur Pumpungan, Kec. Sukolilo, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Sukolilo Menur Pumpungan,-7.297736689121,112.768613897622
JAWA TIMUR,KOTA SURABAYA,RUNGKUT,PENJARINGANSARI,"YKP Pandugo I Blok PB-27, RT 01 RW 08, Kelurahan Penjaringansari, Kecamatan Rungkut, Kota Surabaya, Provinsi Jawa Timur 60297",SPPG Kota Surabaya Rungkut,-7.3223,112.7822
JAWA TIMUR,KOTA SURABAYA,GUNUNG ANYAR,GUNUNG ANYAR,"Jl. Setapak Gunung Anyar Tambak V No. 18, 20 (Lama : Jl. Gunung Anyar Tambak II Kav. 144-145 / Jl. Modern II), Gunung Anyar Tambak, Gunung Anyar, Surabaya",SPPG Kota Surabaya Gunung Anyar Gunung Anyar 2,-7.24917,112.75083
JAWA TIMUR,KOTA SURABAYA,TAMBAKSARI,PACARKELING,"jl sawentar no 7 RT 001/ RW 011, Kel.Pacar Keling,Kec.Tambak Sari, Kota Surabaya",SPPG Kota Surabaya Tambaksari Pacarkeling 1,-7.258704010052,112.755940627659
JAWA TIMUR,KOTA SURABAYA,TAMBAKSARI,PACARKEMBANG,"Jl. Dharmahusada IV No. 2, Pacarkembang, Kec. Tambaksari, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Tambaksari Pacarkembang 3,-7.264657228205,112.761639111473
JAWA TIMUR,KOTA SURABAYA,MULYOREJO,MULYOREJO,"Jl. Mulyorejo Indah III No.4, Mulyorejo, Kecamatan Mulyorejo, Surabaya, Jawa Timur",SPPG Kota Surabaya Mulyorejo Mulyorejo,-7.260168999089,112.781760996572
JAWA TIMUR,KOTA SURABAYA,GUNUNG ANYAR,GUNUNG ANYAR,"Jl. Perumahan Ikip Gunung Anyar Indah  B-54, Kec. Gunung Anyar, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Gunung Anyar Gunung Anyar,-7.3334,112.7838
JAWA TIMUR,KOTA SURABAYA,TAMBAKSARI,PACARKEMBANG,"Jl. Bronggalan 2 H No.8a, Pacar Kembang, Kec. Tambaksari, Surabaya, Jawa Timur 60132",SPPG Kota Surabaya Tambaksari Pacarkembang,-7.257147993547,112.764616987093
JAWA TIMUR,KOTA SURABAYA,GUBENG,MOJO,"Jl. Mojoklanggru Kidul No.66, Mojo, Kec. Gubeng, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Gubeng Mojo 3,-7.269682854887,112.771483393251
JAWA TIMUR,KOTA SURABAYA,RUNGKUT,MEDOKAN AYU,"Jl. Raya Pandugo, Medokan Ayu, Kec. Rungkut, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Rungkut Medokan Ayu,-7.319832846885,112.794419568801
JAWA TIMUR,KOTA SURABAYA,MULYOREJO,KEJAWAN PUTIH TAMBAK,"Jl. Kejawan Putih Tambak 6/1, Kejawaan Putih Tambak, Kec. Mulyorejo, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Mulyorejo Kejawan Putih Tambak 3,-7.2813,112.8021
JAWA TIMUR,KOTA SURABAYA,GUBENG,MOJO,"Jl. Mojokidul No.35 Rt.012 Rw.005 , Mojo, Kec. Gubeng, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Gubeng Mojo,-7.267169019797,112.766468968599
JAWA TIMUR,KOTA SURABAYA,RUNGKUT,PENJARINGANSARI,"Ykp Pandugo I, Blok Pr-03, Kel. Penjaringansari, Kec. Rungkut, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Rungkut Penjaringansari 3,-7.3223,112.7822
JAWA TIMUR,KOTA SURABAYA,SUKOLILO,NGINDEN JANGKUNGAN,"Nginden Jangkungan, Kecamatan Sukolilo, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Sukolilo Nginden Jangkungan,-7.3033426,112.7664091
JAWA TIMUR,KOTA SURABAYA,GUBENG,BARATAJAYA,"Jl. Barata Jaya No.51, Baratajaya, Kec. Gubeng, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Gubeng Baratajaya,-7.298931103836,112.758879574098
JAWA TIMUR,KOTA SURABAYA,TENGGILIS MEJOYO,KENDANGSARI,"Jl. Kendangsari Gang Lebar No.143, Kendangsari, Kec. Tenggilis Mejoyo, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Tenggilis Mejoyo Kendangsari,-7.3268,112.75
JAWA TIMUR,KOTA SURABAYA,TAMBAKSARI,GADING,"Jl. Lb. Jaya III C Utara No.7, Gading, Kec. Tambaksari, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Tambaksari Gading,-7.2461338,112.7729803
JAWA TIMUR,KOTA SURABAYA,RUNGKUT,KALIRUNGKUT,"Jl. Rungkut Asri Utara XIX, Kali Rungkut, Kec. Rungkut, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Rungkut Kalirungkut,-7.324757330693,112.773091979959
JAWA TIMUR,KOTA SURABAYA,TAMBAKSARI,PACARKEMBANG,"Kalikepiting No 9 Rt 19 Rw 5, Pacarkembang, Kec. Tambaksari, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Tambaksari Pacarkembang 2,-7.262476620852,112.771433905126
JAWA TIMUR,KOTA SURABAYA,GUBENG,MOJO,"Jl. Mojo Klanggru Lor No.75, Mojo, Kec. Gubeng, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Gubeng Mojo 4,-7.267972089941,112.768710792423
JAWA TIMUR,KOTA SURABAYA,SUKOLILO,MEDOKAN SEMAMPIR,"Perumahan Wisma Bahari, Jl. Kri Yos Sudarso Aa-3, Medokan Semampir, Kec. Sukolilo, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Sukolilo Medokan Semampir,-7.304322979089,112.793195672703
JAWA TIMUR,KOTA SURABAYA,GUBENG,MOJO,"Jl. Dharmahusada Indah Barat II Blok A/77, Mojo, Kec. Gubeng, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Gubeng Mojo 2,-7.274488307198,112.772301935019
